Depto ID;Departamento;Mcpio ID;Municipio;Zona ID;Puesto ID;Puesto;Comuna ID;Comuna;Comisión Nacional;Comisión Dptal;Comisión Municipal;Comisión Zonal;Comisión Auxiliar;Nombre Comisión;Mesa Inicial;Mesa Final;Total Mesas;lugar de escrutinios;direccion de escrutinios;
1;ANTIOQUIA;1;MEDELLIN;1;1;SEC. ESC. LA ESPERANZA No 2;;COMUNA 1 POPULAR;1;1000;2000;0;5001;AUXILIAR 1;1;39;39;;;7359
1;ANTIOQUIA;1;MEDELLIN;1;2;INST.EDUC. LA CANDELARIA;;COMUNA 1 POPULAR;1;1000;2000;0;5002;AUXILIAR 2;1;49;49;;;
1;ANTIOQUIA;1;MEDELLIN;1;3;IE MARIA DE LOS ANGELES CANO MARQUEZ;;COMUNA 1 POPULAR;1;1000;2000;0;5003;AUXILIAR 3;1;26;26;;;
1;ANTIOQUIA;1;MEDELLIN;1;5;I.E.FE Y ALEGRIA GRANIZAL;;COMUNA 1 POPULAR;1;1000;2000;0;5003;AUXILIAR 3;1;15;15;;;
1;ANTIOQUIA;1;MEDELLIN;1;4;SEC. ESC. MEDELLIN;;COMUNA 1 POPULAR;1;1000;2000;0;5004;AUXILIAR 4;1;27;27;;;
1;ANTIOQUIA;1;MEDELLIN;1;6;IE LA AVANZADA;;COMUNA 1 POPULAR;1;1000;2000;0;5004;AUXILIAR 4;1;8;8;;;
1;ANTIOQUIA;1;MEDELLIN;1;7;SEC. ESC. CARPINELO AMAPOLITA;;COMUNA 1 POPULAR;1;1000;2000;0;5004;AUXILIAR 4;1;7;7;;;
1;ANTIOQUIA;1;MEDELLIN;1;8;IE ANTONIO DERKA;;COMUNA 1 POPULAR;1;1000;2000;0;5005;AUXILIAR 5;1;20;20;;;
1;ANTIOQUIA;1;MEDELLIN;2;4;I.E.FEDERICO CARRASQUILLA;;COMUNA 1 POPULAR;1;1000;2000;0;5005;AUXILIAR 5;1;16;16;;;
1;ANTIOQUIA;1;MEDELLIN;5;6;IE BELLO ORIENTE;;COMUNA 3 MANRIQUE;1;1000;2000;0;5005;AUXILIAR 5;1;8;8;;;
1;ANTIOQUIA;1;MEDELLIN;1;9;SEC. ESC. NUEVO HORIZONTE 2;;COMUNA 1 POPULAR;1;1000;2000;0;5006;AUXILIAR 6;1;36;36;;;
1;ANTIOQUIA;1;MEDELLIN;5;7;IE JOSE ROBERTO VASQUEZ;;COMUNA 3 MANRIQUE;1;1000;2000;0;5006;AUXILIAR 6;1;10;10;;;
1;ANTIOQUIA;1;MEDELLIN;2;1;I.E. NUEVO HORIZONTE - PAULO VI;;COMUNA 1 POPULAR;1;1000;2000;0;5007;AUXILIAR 7;1;33;33;;;
1;ANTIOQUIA;1;MEDELLIN;6;4;IE SAN JUAN BAUTISTA DE LA SALLE;;COMUNA 3 MANRIQUE;1;1000;2000;0;5007;AUXILIAR 7;1;13;13;;;
1;ANTIOQUIA;1;MEDELLIN;2;2;SEC. ESC. DIVINA PROVIDENCIA;;COMUNA 1 POPULAR;1;1000;2000;0;5008;AUXILIAR 8;1;38;38;;;
1;ANTIOQUIA;1;MEDELLIN;7;5;I.E.SAN JUAN BOSCO;;COMUNA 4 ARANJUEZ;1;1000;2000;0;5008;AUXILIAR 8;1;10;10;;;
1;ANTIOQUIA;1;MEDELLIN;2;3;SEC.ESC.AGRIPINA MONTES DEL VALLE;;COMUNA 1 POPULAR;1;1000;2000;0;5009;AUXILIAR 9;1;24;24;;;
1;ANTIOQUIA;1;MEDELLIN;3;4;SEC ESC LA FRONTERA;;COMUNA 2 SANTA CRUZ;1;1000;2000;0;5009;AUXILIAR 9;1;11;11;;;
